fdc_id,description_en,description_de
169552,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","Rindfleisch, Lendenstück, Steak, trennbares mageres und fettes Fleisch, auf 1/8 Zoll Fett getrimmt, ausgewählt, gekocht, gegrillt"
169553,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted","Rindfleisch, Chuck, Klumpenbraten, nur teilbar, mager, auf 0 Zoll Fett getrimmt, nach Wahl, gekocht, geröstet"
169554,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled","Rindfleisch, Flanke, Steak, trennbares mageres und fettes Fleisch, auf 0 Zoll Fett getrimmt, ausgewählt, gekocht, gegrillt"
169555,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised","Rindfleisch, Bruststück, flache Hälfte, mageres und fettes Fleisch trennen, auf 0 Zoll Fett zugeschnitten, ausgewählt, gekocht, geschmort"
169556,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled","Rindfleisch, Rib-Eye, kleines Ende (Rippen 10–12), trennbares mageres Fleisch und Fett, auf 0 Zoll Fett getrimmt, ausgewählt, gekocht, gegrillt"
169557,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled","Rindfleisch, Rib-Eye, kleines Ende (Rippen 10–12), trennbares Muskelfleisch und Fett, auf 0 Zoll Fett getrimmt, alle Qualitäten, gekocht, gegrillt"
169558,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted","Rindfleisch, unteres Lendenstück, Tri-Tip-Braten, trennbares Magerfleisch und Fett, auf 0 Zoll Fett getrimmt, alle Qualitäten, gekocht, gebraten"
169559,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw","Rindfleisch, unteres Lendenstück, Tri-Tip-Braten, trennbares Magerfleisch und Fett, auf 0 Zoll Fett getrimmt, ausgewählt, roh"
169560,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","Rindfleisch, rund, oberes rundes Steak, ohne Knochen, trennbares Magerfleisch und Fett, auf 0 Zoll Fett getrimmt, alle Qualitäten, gekocht, gegrillt"
169561,"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled","Rindfleisch, Chuck, Schein-Zart-Steak, nur teilbar, mager, auf 0 Zoll Fett getrimmt, nach Wahl, gekocht, gegrillt"
169562,"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled","Rindfleisch, Chuck, Schein-Zart-Steak, nur teilbar, mager, auf 0 Zoll Fett getrimmt, ausgewählt, gekocht, gegrillt"
169563,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw","Rind, Flanke, Steak, trennbares mageres und fettes Rindfleisch, auf 0 Zoll Fett getrimmt, alle Qualitäten, roh"
169564,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, raw","Rindfleisch, Flanke, Steak, trennbares mageres und fettes Rindfleisch, auf 0 Zoll Fett getrimmt, ausgewählt, roh"
169565,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, raw","Rindfleisch, Chuck-Eye-Roast, ohne Knochen, America's Beef Roast, nur teilbar, mager, auf 0 Zoll Fett getrimmt, alle Qualitäten, roh"
169566,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, raw","Rindfleisch, Chuck Eye Roast, ohne Knochen, America's Beef Roast, nur teilbar, mager, auf 0 Zoll Fett getrimmt, nach Wahl, roh"
169567,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised","Rindfleisch, Chuck, kurze Rippen, ohne Knochen, nur teilbar, mager, auf 0 Zoll Fett getrimmt, nach Wahl, gekocht, geschmort"
169568,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised","Rindfleisch, Chuck, kurze Rippchen, ohne Knochen, trennbar, nur mager, auf 0 Zoll Fett getrimmt, ausgewählt, gekocht, geschmort"
169569,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","Rindfleisch, Chuck, kurze Rippen, ohne Knochen, nur teilbar, mager, auf 0 Zoll Fett getrimmt, alle Qualitäten, gekocht, geschmort"
169570,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw","Rindfleisch, Bruststück, flache Hälfte, ohne Knochen, trennbares Magerfleisch und Fett, auf 0 Zoll Fett getrimmt, ausgewählt, roh"
169571,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted","Rindfleisch, Lende, unteres Roastbeef, Tri-Tip-Braten, nur teilbar, mager, auf 0 Zoll Fett getrimmt, alle Qualitäten, gekocht, gebraten"
169572,"Alcoholic beverage, beer, light, BUD LIGHT","Alkoholisches Getränk, Bier, Licht, BUD LIGHT"
169573,"Alcoholic beverage, daiquiri, canned","Alkoholisches Getränk, Daiquiri, in Dosen"
169574,"Alcoholic beverage, daiquiri, prepared-from-recipe","Alkoholisches Getränk, Daiquiri, nach Rezept zubereitet"
169575,"Alcoholic beverage, beer, light, low carb","Alkoholisches Getränk, Bier, leicht, kohlenhydratarm"
169576,"Candies, milk chocolate coated raisins","Bonbons, mit Milchschokolade überzogene Rosinen"
169577,"Syrups, table blends, pancake, reduced-calorie","Sirupe, Tafelmischungen, Pfannkuchen, kalorienreduziert"
169578,"Syrups, table blends, pancake","Sirupe, Tafelmischungen, Pfannkuchen"
169579,"Candies, HERSHEY'S POT OF GOLD Almond Bar","Süßigkeiten, HERSHEY'S POT OF GOLD Mandelriegel"
169580,"Candies, truffles, prepared-from-recipe","Süßigkeiten, Trüffel, nach Rezept zubereitet"
169581,"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits","Backschokolade, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits"
169582,"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies","Bonbons, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies"
169583,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies","Bonbons, MARS SNACKFOOD US, M&M's Milchschokoladenbonbons"
169584,"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits","Backschokolade, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits"
169585,"Candies, peanut bar","Süßigkeiten, Erdnussriegel"
169586,"Candies, peanut brittle, prepared-from-recipe","Bonbons, Erdnusskrokant, nach Rezept zubereitet"
169587,"Candies, NESTLE, RAISINETS Chocolate Covered Raisins","Bonbons, NESTLE, ROSINEN Rosinen mit Schokoladenüberzug"
169588,"Candies, sesame crunch","Süßigkeiten, Sesam-Crunch"
169589,"Candies, MARS SNACKFOOD US, SNICKERS Bar","Süßigkeiten, MARS SNACKFOOD US, SNICKERS Bar"
169590,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits","Bonbons, MARS SNACKFOOD US, STARBURST Fruit Chews, Originalfrüchte"
169591,"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies","Bonbons, MARS SNACKFOOD US, M&M's MINIs Milchschokoladenbonbons"
169592,"Candies, SPECIAL DARK Chocolate Bar","Bonbons, SPEZIELLE DUNKLE Schokoladentafel"
169593,"Cocoa, dry powder, unsweetened","Kakao, Trockenpulver, ungesüßt"
169594,"Cocoa, dry powder, unsweetened, processed with alkali","Kakao, Trockenpulver, ungesüßt, mit Alkali verarbeitet"
169595,"Desserts, egg custard, baked, prepared-from-recipe","Desserts, Eiercreme, gebacken, nach Rezept zubereitet"
169596,"Gelatin desserts, dry mix, prepared with water","Gelatinedesserts, Trockenmischung, zubereitet mit Wasser"
169597,"Gelatin desserts, dry mix, reduced calorie, with aspartame","Gelatinedesserts, Trockenmischung, kalorienreduziert, mit Aspartam"
169598,"Gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water","Gelatinedesserts, Trockenmischung, kalorienreduziert, mit Aspartam, zubereitet mit Wasser"
169599,"Gelatins, dry powder, unsweetened","Gelatine, Trockenpulver, ungesüßt"
169600,"Puddings, chocolate, dry mix, instant, prepared with whole milk","Pudding, Schokolade, Trockenmischung, Instant, zubereitet mit Vollmilch"
169601,"Desserts, apple crisp, prepared-from-recipe","Desserts, Apfelchips, nach Rezept zubereitet"
169602,"Flan, caramel custard, dry mix","Flan, Karamellpudding, Trockenmischung"
169603,"Puddings, chocolate, dry mix, regular","Pudding, Schokolade, Trockenmischung, normal"
169604,"Puddings, chocolate, dry mix, regular, prepared with whole milk","Pudding, Schokolade, Trockenmischung, normal, zubereitet mit Vollmilch"
169605,"Puddings, rice, dry mix, prepared with whole milk","Pudding, Reis, Trockenmischung, zubereitet mit Vollmilch"
169606,"Puddings, tapioca, dry mix","Pudding, Tapioka, Trockenmischung"
169607,"Puddings, tapioca, dry mix, prepared with whole milk","Pudding, Tapioka, Trockenmischung, zubereitet mit Vollmilch"
169608,"Puddings, vanilla, ready-to-eat","Pudding, Vanille, verzehrfertig"
169609,"Puddings, vanilla, dry mix, regular","Pudding, Vanille, Trockenmischung, normal"
169610,"Puddings, vanilla, dry mix, regular, prepared with whole milk","Pudding, Vanille, Trockenmischung, normal, zubereitet mit Vollmilch"
169611,"Puddings, rice, dry mix, prepared with 2% milk","Pudding, Reis, Trockenmischung, zubereitet mit 2 % Milch"
169612,"Puddings, tapioca, dry mix, prepared with 2% milk","Pudding, Tapioka, Trockenmischung, zubereitet mit 2 % Milch"
169613,"Frozen novelties, ice type, fruit, no sugar added","Gefrorene Neuheiten, Eissorte, Obst, ohne Zuckerzusatz"
169614,"Puddings, tapioca, ready-to-eat","Pudding, Tapioka, verzehrfertig"
169615,"Puddings, coconut cream, dry mix, regular, prepared with 2% milk","Pudding, Kokoscreme, Trockenmischung, normal, zubereitet mit 2 % Milch"
169616,"Desserts, rennin, chocolate, dry mix","Desserts, Rennin, Schokolade, Trockenmischung"
169617,"Rennin, chocolate, dry mix, prepared with whole milk","Rennin, Schokolade, Trockenmischung, zubereitet mit Vollmilch"
169618,"Frostings, coconut-nut, ready-to-eat","Zuckerguss, Kokos-Nuss, verzehrfertig"
169619,"Frostings, cream cheese-flavor, ready-to-eat","Glasuren, Frischkäse-Geschmack, verzehrfertig"
169620,"Frostings, vanilla, creamy, ready-to-eat","Zuckerguss, Vanille, cremig, verzehrfertig"
169621,"Flan, caramel custard, dry mix, prepared with 2% milk","Flan, Karamellpudding, Trockenmischung, zubereitet mit 2 % Milch"
169622,"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES","Bonbons, HERSHEY'S MILCHSCHOKOLADE MIT MANDELHITZEN"
169623,"Candies, REESE'S BITES","Süßigkeiten, REESE'S BITES"
169624,"Candies, REESE'S NUTRAGEOUS Candy Bar","Süßigkeiten, REESES NUTRAGEOUS Schokoriegel"
169625,"Frostings, chocolate, creamy, dry mix","Zuckerguss, Schokolade, cremig, Trockenmischung"
169626,"Frostings, white, fluffy, dry mix, prepared with water","Zuckerguss, weiß, fluffig, Trockenmischung, zubereitet mit Wasser"
169627,"Candies, HERSHEY'S, ALMOND JOY BITES","Süßigkeiten, HERSHEY'S, ALMOND JOY BITES"
169628,"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate","Bonbons, HERSHEY, knusprige REESESTICKS-Waffeln, Erdnussbutter, Milchschokolade"
169629,"Candies, HERSHEY, KIT KAT BIG KAT Bar","Süßigkeiten, HERSHEY, KIT KAT BIG KAT Bar"
169630,"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats","Bonbons, REESE'S, FAST BREAK, Milchschokoladen-Erdnussbutter und weiche Nougats"
169631,"Ice creams, vanilla, light, no sugar added","Eiscreme, Vanille, leicht, ohne Zuckerzusatz"
169632,"Frozen novelties, fruit and juice bars","Tiefkühl-Neuheiten, Obst- und Saftbars"
169633,"Ice creams, chocolate, light, no sugar added","Eiscreme, Schokolade, hell, ohne Zuckerzusatz"
169634,"Candies, dark chocolate coated coffee beans","Bonbons, mit dunkler Schokolade überzogene Kaffeebohnen"
169635,"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E","Snacks, SUNKIST, SUNKIST Fruit Roll, Erdbeere, mit Vitamin A, C und E"
169636,"Snacks, fruit leather, pieces, with vitamin C","Snacks, Fruchtleder, Stücke, mit Vitamin C"
169637,"Candies, milk chocolate coated coffee beans","Bonbons, mit Milchschokolade überzogene Kaffeebohnen"
169638,"Frozen novelties, ice type, lime","Gefrorene Neuheiten, Eistyp, Limette"
169639,"Candies, MARS SNACKFOOD US, SNICKERS MUNCH bar","Süßigkeiten, MARS SNACKFOOD US, SNICKERS MUNCH Bar"
169640,Honey,Honig
169641,Jams and preserves,Marmeladen und Konfitüren
169642,Jellies,Gelees
169643,"Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies","Bonbons, MARS SNACKFOOD US, mundgerechte Bonbons der Marke POP'ABLES SNICKERS"
169644,"Candies, MARS SNACKFOOD US, POP'ABLES MILKY WAY Brand Bite Size Candies","Bonbons, MARS SNACKFOOD US, mundgerechte Bonbons der Marke POP'ABLES MILKY WAY"
169645,"Candies, MARS SNACKFOOD US, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies","Bonbons, MARS SNACKFOOD US, mundgerechte Bonbons der Marke POP'ABLES 3 MUSKETEERS"
169646,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme","Süßigkeiten, MARS SNACKFOOD US, STARBURST Fruit Chews, Obst und Creme"
169647,"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews","Süßigkeiten, MARS SNACKFOOD US, STARBURST Sour Fruit Chews"
169648,"Puddings, banana, dry mix, instant","Pudding, Banane, Trockenmischung, Instant"
169649,"Puddings, banana, dry mix, instant, prepared with whole milk","Pudding, Banane, Trockenmischung, Instant, zubereitet mit Vollmilch"
169650,"Puddings, banana, dry mix, regular","Pudding, Banane, Trockenmischung, normal"
169651,"Candies, MARS SNACKFOOD US, COCOAVIA Chocolate Bar","Süßigkeiten, MARS SNACKFOOD US, COCOAVIA Schokoriegel"
169652,"Candies, MARS SNACKFOOD US, COCOAVIA Blueberry and Almond Chocolate Bar","Süßigkeiten, MARS SNACKFOOD US, COCOAVIA Blaubeer- und Mandelschokoladenriegel"
169653,"Candies, MARS SNACKFOOD US, COCOAVIA Crispy Chocolate Bar","Süßigkeiten, MARS SNACKFOOD US, COCOAVIA Crispy Chocolate Bar"
169654,"Puddings, lemon, dry mix, instant","Pudding, Zitrone, Trockenmischung, Instant"
169655,"Sugars, granulated","Zucker, granuliert"
169656,"Sugars, powdered","Zucker, pulverisiert"
169657,"Sweeteners, tabletop, aspartame, EQUAL, packets","Süßstoffe, Tischsüßstoffe, Aspartam, EQUAL, Packungen"
169658,"Sugars, maple","Zucker, Ahorn"
169659,"Syrups, corn, high-fructose","Sirupe, Mais, hoher Fruchtzuckergehalt"
169660,"Syrups, malt","Sirupe, Malz"
169661,"Syrups, maple","Sirupe, Ahorn"
169662,"Syrups, sorghum","Sirupe, Sorghum"
169663,"Candies, MARS SNACKFOOD US, SNICKERS CRUNCHER","Süßigkeiten, MARS SNACKFOOD US, SNICKERS CRUNCHER"
169664,"Toppings, marshmallow cream","Toppings, Marshmallowcreme"
169665,"Toppings, pineapple","Belag, Ananas"
169666,"Toppings, nuts in syrup","Toppings, Nüsse in Sirup"
169667,"Candies, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Candies","Bonbons, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Bonbons"
169668,"Frostings, glaze, prepared-from-recipe","Zuckerguss, Glasur, nach Rezept zubereitet"
169669,"Candies, fudge, chocolate marshmallow, prepared-from-recipe","Süßigkeiten, Fudge, Schokoladen-Marshmallow, nach Rezept zubereitet"
169670,"Candies, taffy, prepared-from-recipe","Süßigkeiten, Toffee, nach Rezept zubereitet"
169671,"Candies, toffee, prepared-from-recipe","Süßigkeiten, Toffee, nach Rezept zubereitet"
169672,"Snacks, cornnuts, barbecue-flavor","Snacks, Maisnüsse, Barbecue-Geschmack"
169673,"Snacks, crisped rice bar, almond","Snacks, knuspriger Reisriegel, Mandel"
169674,"Snacks, granola bars, soft, uncoated, chocolate chip","Snacks, Müsliriegel, weich, unbeschichtet, Schokoladenstückchen"
169675,"Snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow","Snacks, Müsliriegel, weich, unbeschichtet, Chocolate Chip, Graham und Marshmallow"
169676,"Snacks, granola bars, soft, uncoated, nut and raisin","Snacks, Müsliriegel, weich, unbeschichtet, Nuss und Rosine"
169677,"Snacks, potato chips, plain, salted","Snacks, Kartoffelchips, natur, gesalzen"
169678,"Snacks, potato chips, made from dried potatoes, cheese-flavor","Snacks, Kartoffelchips, hergestellt aus getrockneten Kartoffeln, Käsegeschmack"
169679,"Snacks, rice cakes, brown rice, corn","Snacks, Reiskuchen, brauner Reis, Mais"
169680,"Snacks, rice cakes, brown rice, multigrain","Snacks, Reiskuchen, brauner Reis, Mehrkornreis"
169681,"Snacks, granola bars, hard, peanut butter","Snacks, Müsliriegel, harte Erdnussbutter"
169682,"Snacks, potato chips, cheese-flavor","Snacks, Kartoffelchips, Käsegeschmack"
169683,"Snacks, potato chips, reduced fat","Snacks, Kartoffelchips, fettreduziert"
169684,"Snacks, potato chips, fat-free, made with olestra","Snacks, Kartoffelchips, fettfrei, hergestellt mit Olestra"
169685,"Popcorn, sugar syrup/caramel, fat-free","Popcorn, Zuckersirup/Karamell, fettfrei"
169686,"Snacks, potato chips, fat free, salted","Snacks, Kartoffelchips, fettfrei, gesalzen"
169687,"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares","Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares"
169688,"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar","Snacks, KELLOGG, KELLOGG'S fettarmer Müsliriegel, knusprige Mandeln/brauner Zucker"
169689,"Snacks, M&M MARS, KUDOS Whole Grain Bar, chocolate chip","Snacks, M&M MARS, KUDOS Vollkornriegel, Schokoladenstückchen"
169690,"Candies, semisweet chocolate, made with butter","Bonbons, halbsüße Schokolade, hergestellt mit Butter"
169691,"Gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt","Gelatinedesserts, Trockenmischung, mit Zusatz von Ascorbinsäure, Natriumcitrat und Salz"
169692,"Gelatin desserts, dry mix, reduced calorie, with aspartame, added phosphorus, potassium, sodium, vitamin C","Gelatinedesserts, Trockenmischung, kalorienreduziert, mit Aspartam, Zusatz von Phosphor, Kalium, Natrium, Vitamin C"
169693,"Gelatin desserts, dry mix, reduced calorie, with aspartame, no added sodium","Gelatinedesserts, Trockenmischung, kalorienreduziert, mit Aspartam, ohne Natriumzusatz"
169694,"Corn flour, masa, enriched, white","Maismehl, Masa, angereichert, weiß"
169695,"Corn flour, yellow, degermed, unenriched","Maismehl, gelb, entkeimt, nicht angereichert"
169696,"Corn flour, masa, unenriched, white","Maismehl, Masa, nicht angereichert, weiß"
169697,"Cornmeal, whole-grain, yellow","Maismehl, Vollkorn, gelb"
169698,Cornstarch,Maisstärke
169699,"Couscous, dry","Couscous, trocken"
169700,"Couscous, cooked","Couscous, gekocht"
169701,"Hominy, canned, white","Hominy, Dose, weiß"
169702,"Millet, raw","Hirse, roh"
169703,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)","Reis, braun, langkörnig, roh (einschließlich Lebensmittel für das Food Distribution Program des USDA)"
169704,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)","Reis, braun, langkörnig, gekocht (einschließlich Lebensmittel für das Food Distribution Program des USDA)"
169705,Oats (Includes foods for USDA's Food Distribution Program),Hafer (einschließlich Lebensmittel für das Food Distribution Program des USDA)
169706,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)","Reis, braun, mittelkörnig, roh (einschließlich Lebensmittel für das Food Distribution Program des USDA)"
169707,"Rice, white, long-grain, parboiled, enriched, dry","Reis, weiß, langkörnig, angekocht, angereichert, trocken"
169708,"Rice, white, long-grain, parboiled, enriched, cooked","Reis, weiß, langkörnig, parboiled, angereichert, gekocht"
169709,"Rice, white, long-grain, precooked or instant, enriched, dry","Reis, weiß, langkörnig, vorgekocht oder Instant, angereichert, trocken"
169710,"Rice, white, long-grain, precooked or instant, enriched, prepared","Reis, weiß, langkörnig, vorgekocht oder Instant, angereichert, zubereitet"
169711,"Rice, white, glutinous, unenriched, cooked","Reis, weiß, klebrig, nicht angereichert, gekocht"
169712,"Rice, white, steamed, Chinese restaurant","Reis, weiß, gedämpft, chinesisches Restaurant"
169713,"Rice bran, crude","Reiskleie, roh"
169714,"Rice flour, white, unenriched","Reismehl, weiß, nicht angereichert"
169715,"Semolina, enriched","Grieß, angereichert"
169716,Sorghum grain,Sorghumkorn
169717,"Tapioca, pearl, dry","Tapioka, Perlmutt, trocken"
169718,Triticale,Triticale
169719,"Wheat, hard white","Weizen, hartweiß"
169720,"Wheat, soft white","Weizen, weiches Weiß"
169721,"Wheat, durum","Weizen, Hartweizen"
169722,"Wheat bran, crude","Weizenkleie, roh"
169723,"Wheat flour, white, cake, enriched","Weizenmehl, weiß, Kuchen, angereichert"
169724,"Wheat flour, white, tortilla mix, enriched","Weizenmehl, weiß, Tortillamischung, angereichert"
169725,"Wheat, sprouted","Weizen, gekeimt"
169726,"Wild rice, raw","Wildreis, roh"
169727,"Pasta, fresh-refrigerated, plain, as purchased","Nudeln, frisch-gekühlt, natur, wie gekauft"
169728,"Pasta, fresh-refrigerated, plain, cooked","Pasta, frisch-gekühlt, pur, gekocht"
169729,"Pasta, fresh-refrigerated, spinach, as purchased","Nudeln, frisch-gekühlt, Spinat, wie gekauft"
169730,"Pasta, fresh-refrigerated, spinach, cooked","Nudeln, frisch gekühlt, Spinat, gekocht"
169731,"Noodles, egg, dry, enriched","Nudeln, Ei, trocken, angereichert"
169732,"Noodles, egg, enriched, cooked","Nudeln, Ei, angereichert, gekocht"
169733,"Noodles, egg, spinach, enriched, dry","Nudeln, Ei, Spinat, angereichert, trocken"
169734,"Noodles, egg, spinach, enriched, cooked","Nudeln, Ei, Spinat, angereichert, gekocht"
169735,"Noodles, flat, crunchy, Chinese restaurant","Nudeln, flach, knusprig, chinesisches Restaurant"
169736,"Pasta, dry, enriched","Pasta, trocken, angereichert"
169737,"Pasta, cooked, enriched, without added salt","Nudeln, gekocht, angereichert, ohne Salzzusatz"
169738,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)","Nudeln, Vollkorn, trocken (einschließlich Lebensmittel für das Food Distribution Program des USDA)"
169739,Barley flour or meal,Gerstenmehl oder -schrot
169740,Barley malt flour,Gerstenmalzmehl
169741,"Oat flour, partially debranned","Hafermehl, teilweise entkernt"
169742,"Rice noodles, dry","Reisnudeln, trocken"
169743,"Wheat, khorasan, uncooked","Weizen, Khorasan, ungekocht"
169744,"Wheat, khorasan, cooked","Weizen, Khorasan, gekocht"
169745,"Spelt, uncooked","Dinkel, ungekocht"
169746,"Spelt, cooked","Dinkel, gekocht"
169747,"Teff, uncooked","Teff, ungekocht"
169748,"Corn flour, whole-grain, white","Maismehl, Vollkorn, weiß"
169749,"Corn flour, yellow, masa, enriched","Maismehl, gelb, Masa, angereichert"
169750,"Cornmeal, whole-grain, white","Maismehl, Vollkorn, weiß"
169751,"Pasta, cooked, enriched, with added salt","Nudeln, gekocht, angereichert, mit Salzzusatz"
169752,"Hominy, canned, yellow","Hominy, Dose, gelb"
169753,"Rice, white, long-grain, regular, cooked, enriched, with salt","Reis, weiß, langkörnig, normal, gekocht, angereichert, mit Salz"
169754,"Wheat flour, white, all-purpose, enriched, calcium-fortified","Weizenmehl, weiß, universell einsetzbar, angereichert, mit Kalzium angereichert"
169755,"Noodles, egg, dry, unenriched","Nudeln, Ei, trocken, nicht angereichert"
169756,"Rice, white, long-grain, regular, raw, unenriched","Reis, weiß, langkörnig, normal, roh, nicht angereichert"
169757,"Rice, white, long-grain, regular, unenriched, cooked without salt","Reis, weiß, langkörnig, normal, nicht angereichert, ohne Salz gekocht"
169758,"Rice, white, long-grain, parboiled, unenriched, dry","Reis, weiß, langkörnig, angekocht, nicht angereichert, trocken"
169759,"Rice, white, long-grain, parboiled, unenriched, cooked","Reis, weiß, langkörnig, parboiled, nicht angereichert, gekocht"
169760,"Rice, white, medium-grain, raw, unenriched","Reis, weiß, mittelkörnig, roh, nicht angereichert"
169761,"Wheat flour, white, all-purpose, unenriched","Weizenmehl, weiß, Allzweckmehl, nicht angereichert"
169762,"Noodles, egg, cooked, unenriched, with added salt","Nudeln, Ei, gekocht, nicht angereichert, mit Salzzusatz"
169763,"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared","Kartoffeln, gelbfleischig, geröstet, bei der Verarbeitung mit Salz versetzt, gefroren, unzubereitet"
169764,"Potatoes, yellow fleshed, french fried, frozen, unprepared","Kartoffeln, gelbfleischig, frittiert, gefroren, unvorbereitet"
169765,"Ginger root, pickled, canned, with artificial sweetener","Ingwerwurzel, eingelegt, aus der Dose, mit künstlichem Süßstoff"
169766,"Peppers, hot pickled, canned","Paprika, scharf eingelegt, aus der Dose"
169767,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS","Gemüsesaft, Bolthouse Farms, Daily Greens"
169768,"Potatoes, mashed, ready-to-eat","Kartoffeln, püriert, verzehrfertig"
169769,"Macaroni and cheese, box mix with cheese sauce, unprepared","Makkaroni und Käse, Kastenmischung mit Käsesauce, unvorbereitet"
169770,"Macaroni and cheese, box mix with cheese sauce, prepared","Makkaroni und Käse, Kastenmischung mit Käsesauce, zubereitet"
169771,"Taquitos, frozen, chicken and cheese, oven-heated","Taquitos, gefroren, Hühnchen und Käse, im Ofen erhitzt"
169772,"Taquitos, frozen, beef and cheese, oven-heated","Taquitos, gefroren, Rindfleisch und Käse, im Ofen erhitzt"
169773,"Potsticker or wonton, pork and vegetable, frozen, unprepared","Potsticker oder Wan-Tan, Schweinefleisch und Gemüse, gefroren, unvorbereitet"
169774,"Macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared","Makkaroni oder Nudeln mit Käse, hergestellt aus fettarmer verpackter Mischung, unzubereitet"
169775,"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared","Umsatz, mit Käse gefüllt, Tomatensoße, gefroren, unzubereitet"
169776,"Macaroni or noodles with cheese, microwaveable, unprepared","Makkaroni oder Nudeln mit Käse, mikrowellengeeignet, unvorbereitet"
169777,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)","Spanische Reismischung, Trockenmischung, zubereitet (mit Raps-/Pflanzenölmischung oder gewürfelten Tomaten und Margarine)"
169778,"Rice mix, cheese flavor, dry mix, unprepared","Reismischung, Käsegeschmack, Trockenmischung, unzubereitet"
169779,"Dumpling, potato- or cheese-filled, frozen","Knödel, mit Kartoffeln oder Käse gefüllt, tiefgekühlt"
169780,"Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen","Wenden, mit Huhn oder Pute und Gemüse gefüllt, fettreduziert, gefroren"
169781,"Sausage, egg and cheese breakfast biscuit","Frühstückskeks mit Wurst, Ei und Käse"
